benchmark,costo,tiempo,optimo,gap,pop,gen,mut,tourn,stag,gen_ultima_mejora,gen_parada,razon_parada
berlin52.tsp,7701.4556,255.400646ms,7542,2.11,600,2000,0.3000,3,200,29,229,estancamiento
bier127.tsp,126524.0759,1.01873171s,118282,6.97,600,2000,0.3000,3,200,206,406,estancamiento
brd14051.tsp,524108.3240,22m36.412005044s,469385,11.66,600,2000,0.3000,3,200,0,200,estancamiento
ch130.tsp,6634.2231,1.10324414s,6110,8.58,600,2000,0.3000,3,200,162,362,estancamiento
ch150.tsp,6812.3190,1.201353498s,6528,4.36,600,2000,0.3000,3,200,137,337,estancamiento
d1291.tsp,61500.8330,4.372318185s,50801,21.06,600,2000,0.3000,3,200,0,200,estancamiento
d15112.tsp,1760032.6873,28m59.140513534s,1573084,11.88,600,2000,0.3000,3,200,0,200,estancamiento
d1655.tsp,72303.7264,6.616581131s,62128,16.38,600,2000,0.3000,3,200,0,200,estancamiento
d198.tsp,16241.3087,1.14538357s,15780,2.92,600,2000,0.3000,3,200,133,333,estancamiento
d2103.tsp,99516.8044,14.539542274s,80450,23.70,600,2000,0.3000,3,200,179,379,estancamiento
d493.tsp,38579.2589,8.564953567s,35002,10.22,600,2000,0.3000,3,200,633,833,estancamiento
d657.tsp,53702.3530,6.027970756s,48912,9.79,600,2000,0.3000,3,200,210,410,estancamiento
eil101.tsp,672.1473,484.330143ms,629,6.86,600,2000,0.3000,3,200,35,235,estancamiento
eil51.tsp,447.5425,214.107287ms,426,5.06,600,2000,0.3000,3,200,0,200,estancamiento
eil76.tsp,573.2938,374.336465ms,538,6.56,600,2000,0.3000,3,200,53,253,estancamiento
fl1400.tsp,21131.4904,24.897124826s,20127,4.99,600,2000,0.3000,3,200,737,937,estancamiento
fl1577.tsp,26134.4299,6.163081081s,22249,17.46,600,2000,0.3000,3,200,0,200,estancamiento
fl3795.tsp,33946.0224,35.442629903s,28772,17.98,600,2000,0.3000,3,200,0,200,estancamiento
fl417.tsp,12571.3028,7.039131078s,11861,5.99,600,2000,0.3000,3,200,711,911,estancamiento
fnl4461.tsp,204057.7009,59.353709383s,182566,11.77,600,2000,0.3000,3,200,0,200,estancamiento
gil262.tsp,2612.6095,3.770567997s,2378,9.87,600,2000,0.3000,3,200,514,714,estancamiento
kroA100.tsp,23009.5519,749.512036ms,21282,8.12,600,2000,0.3000,3,200,135,335,estancamiento
kroA150.tsp,28489.5706,1.082380884s,26524,7.41,600,2000,0.3000,3,200,106,306,estancamiento
kroA200.tsp,31320.6738,1.796529166s,29368,6.65,600,2000,0.3000,3,200,168,368,estancamiento
kroB100.tsp,23905.6313,517.643509ms,22141,7.97,600,2000,0.3000,3,200,36,236,estancamiento
kroB150.tsp,27509.6564,1.265250782s,26130,5.28,600,2000,0.3000,3,200,155,355,estancamiento
kroC100.tsp,21154.5827,637.428156ms,20749,1.95,600,2000,0.3000,3,200,84,284,estancamiento
kroD100.tsp,22331.4854,544.78473ms,21294,4.87,600,2000,0.3000,3,200,43,243,estancamiento
kroE100.tsp,23113.7788,781.894144ms,22068,4.74,600,2000,0.3000,3,200,147,347,estancamiento
lin105.tsp,15272.3691,435.736324ms,14379,6.21,600,2000,0.3000,3,200,30,230,estancamiento
lin318.tsp,45144.8092,5.583239691s,42029,7.41,600,2000,0.3000,3,200,788,988,estancamiento
nrw1379.tsp,63499.8274,7.731426941s,56638,12.12,600,2000,0.3000,3,200,0,200,estancamiento
p654.tsp,35727.9477,2.590432412s,34643,3.13,600,2000,0.3000,3,200,37,237,estancamiento
pcb1173.tsp,66025.8941,16.002965346s,56892,16.05,600,2000,0.3000,3,200,413,613,estancamiento
pcb3038.tsp,158383.2133,25.116725087s,137694,15.03,600,2000,0.3000,3,200,0,200,estancamiento
pcb442.tsp,57142.7244,2.771468441s,50778,12.53,600,2000,0.3000,3,200,173,373,estancamiento
pr1002.tsp,282070.6089,6.797419498s,259045,8.89,600,2000,0.3000,3,200,131,331,estancamiento
pr107.tsp,45316.7518,417.804523ms,44303,2.29,600,2000,0.3000,3,200,28,228,estancamiento
pr124.tsp,61645.0700,519.195943ms,59030,4.43,600,2000,0.3000,3,200,58,258,estancamiento
pr136.tsp,104074.9387,731.155228ms,96772,7.55,600,2000,0.3000,3,200,103,303,estancamiento
pr144.tsp,61873.0509,685.41773ms,58537,5.70,600,2000,0.3000,3,200,95,295,estancamiento
pr152.tsp,74438.0621,1.631169192s,73682,1.03,600,2000,0.3000,3,200,299,499,estancamiento
pr226.tsp,82613.6491,1.813922757s,80369,2.79,600,2000,0.3000,3,200,336,536,estancamiento
pr2392.tsp,428718.7193,14.962110573s,378032,13.41,600,2000,0.3000,3,200,23,223,estancamiento
pr264.tsp,54899.9557,1.791278694s,49135,11.73,600,2000,0.3000,3,200,225,425,estancamiento
pr299.tsp,51729.0490,4.102408215s,48191,7.34,600,2000,0.3000,3,200,585,785,estancamiento
pr439.tsp,121059.7993,8.390817161s,107217,12.91,600,2000,0.3000,3,200,949,1149,estancamiento
pr76.tsp,114571.9084,377.871261ms,108159,5.93,600,2000,0.3000,3,200,47,247,estancamiento
rat195.tsp,2588.5201,1.126564832s,2323,11.43,600,2000,0.3000,3,200,71,271,estancamiento
rat575.tsp,7481.5364,19.04662296s,6773,10.46,600,2000,0.3000,3,200,1298,1498,estancamiento
rat783.tsp,9816.8739,27.722098977s,8806,11.48,600,2000,0.3000,3,200,1394,1594,estancamiento
rat99.tsp,1292.8299,545.640892ms,1211,6.76,600,2000,0.3000,3,200,76,276,estancamiento
rd100.tsp,8651.6149,551.998004ms,7910,9.38,600,2000,0.3000,3,200,42,242,estancamiento
rd400.tsp,16838.2264,4.432372955s,15281,10.19,600,2000,0.3000,3,200,235,435,estancamiento
rl11849.tsp,1105628.4336,13m55.885008677s,923288,19.75,600,2000,0.3000,3,200,0,200,estancamiento
rl1304.tsp,303378.1995,5.297152261s,252948,19.94,600,2000,0.3000,3,200,0,200,estancamiento
rl1323.tsp,323217.4045,5.354035477s,270199,19.62,600,2000,0.3000,3,200,0,200,estancamiento
rl1889.tsp,365835.9103,9.2285769s,316536,15.57,600,2000,0.3000,3,200,0,200,estancamiento
rl5915.tsp,695461.8626,2m6.836945146s,565530,22.98,600,2000,0.3000,3,200,0,200,estancamiento
rl5934.tsp,671910.4765,2m7.120697081s,556045,20.84,600,2000,0.3000,3,200,0,200,estancamiento
st70.tsp,737.1039,336.960574ms,675,9.20,600,2000,0.3000,3,200,37,237,estancamiento
ts225.tsp,134404.8297,1.854402272s,126643,6.13,600,2000,0.3000,3,200,340,540,estancamiento
tsp225.tsp,4134.0059,2.636365656s,3916,5.57,600,2000,0.3000,3,200,505,705,estancamiento
u1060.tsp,252512.3746,4.821716944s,224094,12.68,600,2000,0.3000,3,200,0,200,estancamiento
u1432.tsp,170603.2359,7.526304424s,152970,11.53,600,2000,0.3000,3,200,91,291,estancamiento
u159.tsp,46771.4766,644.334389ms,42080,11.15,600,2000,0.3000,3,200,24,224,estancamiento
u1817.tsp,68655.4179,7.534366971s,57201,20.02,600,2000,0.3000,3,200,0,200,estancamiento
u2152.tsp,78925.7735,9.892677124s,64253,22.84,600,2000,0.3000,3,200,0,200,estancamiento
u2319.tsp,249858.0308,11.453624029s,234256,6.66,600,2000,0.3000,3,200,0,200,estancamiento
u574.tsp,40504.9738,10.910963097s,36905,9.75,600,2000,0.3000,3,200,698,898,estancamiento
u724.tsp,46372.1464,2.989151151s,41910,10.65,600,2000,0.3000,3,200,0,200,estancamiento
vm1084.tsp,271513.4021,12.762772324s,239297,13.46,600,2000,0.3000,3,200,394,594,estancamiento
vm1748.tsp,373658.1140,8.623509655s,336556,11.02,600,2000,0.3000,3,200,0,200,estancamiento
